Datum;Ferientag
02.01.2013;1
03.01.2013;1
04.01.2013;1
04.02.2013;1
05.02.2013;1
06.02.2013;1
07.02.2013;1
08.02.2013;1
11.02.2013;1
12.02.2013;1
13.02.2013;1
14.02.2013;1
15.02.2013;1
25.03.2013;1
26.03.2013;1
27.03.2013;1
28.03.2013;1
29.03.2013;1
01.04.2013;1
02.04.2013;1
03.04.2013;1
04.04.2013;1
05.04.2013;1
30.05.2013;1
31.05.2013;1
03.06.2013;1
04.06.2013;1
05.06.2013;1
06.06.2013;1
07.06.2013;1
10.06.2013;1
11.06.2013;1
18.07.2013;1
19.07.2013;1
22.07.2013;1
23.07.2013;1
24.07.2013;1
25.07.2013;1
26.07.2013;1
29.07.2013;1
30.07.2013;1
31.07.2013;1
01.08.2013;1
02.08.2013;1
05.08.2013;1
06.08.2013;1
07.08.2013;1
08.08.2013;1
09.08.2013;1
12.08.2013;1
13.08.2013;1
14.08.2013;1
15.08.2013;1
16.08.2013;1
19.08.2013;1
20.08.2013;1
21.08.2013;1
22.08.2013;1
23.08.2013;1
26.08.2013;1
27.08.2013;1
28.08.2013;1
29.08.2013;1
30.08.2013;1
28.10.2013;1
29.10.2013;1
30.10.2013;1
31.10.2013;1
23.12.2013;1
24.12.2013;1
25.12.2013;1
26.12.2013;1
30.12.2013;1
31.12.2013;1
02.01.2014;1
03.01.2014;1
06.01.2014;1
30.01.2014;1
31.01.2014;1
03.02.2014;1
04.02.2014;1
05.02.2014;1
06.02.2014;1
07.02.2014;1
10.02.2014;1
11.02.2014;1
14.04.2014;1
15.04.2014;1
16.04.2014;1
17.04.2014;1
18.04.2014;1
21.04.2014;1
22.04.2014;1
23.04.2014;1
24.04.2014;1
25.04.2014;1
29.05.2014;1
30.05.2014;1
02.06.2014;1
03.06.2014;1
04.06.2014;1
05.06.2014;1
06.06.2014;1
09.06.2014;1
10.06.2014;1
24.07.2014;1
25.07.2014;1
28.07.2014;1
29.07.2014;1
30.07.2014;1
31.07.2014;1
01.08.2014;1
04.08.2014;1
05.08.2014;1
06.08.2014;1
07.08.2014;1
08.08.2014;1
11.08.2014;1
12.08.2014;1
13.08.2014;1
14.08.2014;1
15.08.2014;1
18.08.2014;1
19.08.2014;1
20.08.2014;1
21.08.2014;1
22.08.2014;1
25.08.2014;1
26.08.2014;1
27.08.2014;1
28.08.2014;1
29.08.2014;1
01.09.2014;1
02.09.2014;1
03.09.2014;1
04.09.2014;1
05.09.2014;1
27.10.2014;1
28.10.2014;1
29.10.2014;1
30.10.2014;1
31.10.2014;1
22.12.2014;1
23.12.2014;1
24.12.2014;1
25.12.2014;1
26.12.2014;1
29.12.2014;1
30.12.2014;1
31.12.2014;1
01.01.2015;1
02.01.2015;1
02.02.2015;1
03.02.2015;1
04.02.2015;1
05.02.2015;1
06.02.2015;1
30.03.2015;1
31.03.2015;1
01.04.2015;1
02.04.2015;1
03.04.2015;1
14.05.2015;1
15.05.2015;1
18.05.2015;1
19.05.2015;1
20.05.2015;1
21.05.2015;1
22.05.2015;1
23.07.2015;1
24.07.2015;1
27.07.2015;1
28.07.2015;1
29.07.2015;1
30.07.2015;1
31.07.2015;1
03.08.2015;1
04.08.2015;1
05.08.2015;1
06.08.2015;1
07.08.2015;1
10.08.2015;1
11.08.2015;1
12.08.2015;1
13.08.2015;1
14.08.2015;1
17.08.2015;1
18.08.2015;1
19.08.2015;1
20.08.2015;1
21.08.2015;1
24.08.2015;1
25.08.2015;1
26.08.2015;1
27.08.2015;1
28.08.2015;1
26.10.2015;1
27.10.2015;1
28.10.2015;1
29.10.2015;1
30.10.2015;1
23.12.2015;1
24.12.2015;1
28.12.2015;1
29.12.2015;1
30.12.2015;1
31.12.2015;1
04.01.2016;1
05.01.2016;1
06.01.2016;1
08.02.2016;1
09.02.2016;1
10.02.2016;1
11.02.2016;1
12.02.2016;1
21.03.2016;1
22.03.2016;1
23.03.2016;1
24.03.2016;1
25.03.2016;1
12.05.2016;1
13.05.2016;1
16.05.2016;1
17.05.2016;1
18.05.2016;1
19.05.2016;1
20.05.2016;1
21.07.2016;1
22.07.2016;1
25.07.2016;1
26.07.2016;1
27.07.2016;1
28.07.2016;1
29.07.2016;1
01.08.2016;1
02.08.2016;1
03.08.2016;1
04.08.2016;1
05.08.2016;1
08.08.2016;1
09.08.2016;1
10.08.2016;1
11.08.2016;1
12.08.2016;1
15.08.2016;1
16.08.2016;1
17.08.2016;1
18.08.2016;1
19.08.2016;1
22.08.2016;1
23.08.2016;1
24.08.2016;1
25.08.2016;1
26.08.2016;1
31.10.2016;1
01.11.2016;1
02.11.2016;1
23.12.2016;1
27.12.2016;1
28.12.2016;1
29.12.2016;1
30.12.2016;1
02.01.2017;1
03.01.2017;1
06.02.2017;1
07.02.2017;1
08.02.2017;1
09.02.2017;1
10.02.2017;1
10.04.2017;1
11.04.2017;1
12.04.2017;1
13.04.2017;1
14.04.2017;1
29.05.2017;1
30.05.2017;1
05.06.2017;1
06.06.2017;1
20.07.2017;1
21.07.2017;1
24.07.2017;1
25.07.2017;1
26.07.2017;1
27.07.2017;1
28.07.2017;1
01.08.2017;1
02.08.2017;1
03.08.2017;1
04.08.2017;1
07.08.2017;1
08.08.2017;1
09.08.2017;1
10.08.2017;1
11.08.2017;1
14.08.2017;1
15.08.2017;1
16.08.2017;1
17.08.2017;1
18.08.2017;1
21.08.2017;1
22.08.2017;1
23.08.2017;1
24.08.2017;1
25.08.2017;1
30.10.2017;1
31.10.2017;1
22.12.2017;1
26.12.2017;1
27.12.2017;1
28.12.2017;1
29.12.2017;1
05.02.2018;1
06.02.2018;1
07.02.2018;1
08.02.2018;1
09.02.2018;1
26.03.2018;1
27.03.2018;1
28.03.2018;1
29.03.2018;1
30.03.2018;1
10.05.2018;1
11.05.2018;1
14.05.2018;1
15.05.2018;1
16.05.2018;1
17.05.2018;1
18.05.2018;1
19.07.2018;1
20.07.2018;1
23.07.2018;1
24.07.2018;1
25.07.2018;1
26.07.2018;1
27.07.2018;1
01.08.2018;1
02.08.2018;1
03.08.2018;1
06.08.2018;1
07.08.2018;1
08.08.2018;1
09.08.2018;1
10.08.2018;1
13.08.2018;1
14.08.2018;1
15.08.2018;1
16.08.2018;1
17.08.2018;1
20.08.2018;1
21.08.2018;1
22.08.2018;1
23.08.2018;1
